iter	Passed	Remaining
0	2	198
1	3	189
2	5	187
3	7	173
4	9	173
5	10	170
6	12	170
7	14	168
8	16	164
9	17	161
10	19	159
11	21	157
12	23	154
13	24	152
14	26	151
15	28	150
16	30	149
17	32	148
18	34	146
19	36	144
20	37	142
21	39	140
22	41	138
23	43	137
24	45	135
25	47	134
26	49	132
27	51	131
28	52	129
29	54	128
30	56	126
31	59	125
32	60	123
33	62	121
34	64	119
35	66	118
36	68	116
37	70	114
38	71	112
39	73	110
40	75	108
41	75	104
42	77	102
43	79	101
44	81	99
45	83	97
46	85	96
47	87	94
48	89	93
49	91	91
50	93	90
51	95	88
52	97	86
53	99	84
54	100	82
55	102	80
56	104	78
57	106	77
58	108	75
59	110	73
60	112	71
61	114	69
62	116	68
63	118	66
64	119	64
65	122	62
66	124	61
67	126	59
68	128	57
69	130	56
70	132	54
71	134	52
72	136	50
73	138	48
74	140	46
75	142	45
76	144	43
77	147	41
78	149	39
79	151	37
80	153	36
81	155	34
82	157	32
83	159	30
84	161	28
85	163	26
86	165	24
87	167	22
88	169	20
89	171	19
90	173	17
91	175	15
92	177	13
93	179	11
94	181	9
95	183	7
96	185	5
97	187	3
98	188	1
99	190	0
