iter	Passed	Remaining
0	2	2084
1	3	1855
2	5	1799
3	7	1951
4	9	1936
5	11	1920
6	13	1884
7	15	1866
8	16	1831
9	18	1812
10	20	1808
11	25	2106
12	27	2076
13	29	2055
14	30	2021
15	32	2004
16	34	1991
17	36	1993
18	38	2004
19	41	2009
20	43	2009
21	44	1999
22	47	2002
23	49	2000
24	51	2023
25	53	2017
26	55	2014
27	57	2007
28	59	2005
29	61	1995
30	63	1986
31	65	1987
32	67	1987
33	69	1983
34	71	1973
35	73	1972
36	75	1972
37	77	1968
38	79	1969
39	82	1968
40	84	1982
41	86	1979
42	89	2000
43	92	2001
44	94	2002
45	96	1999
46	98	1996
47	100	1997
48	103	2003
49	105	1997
50	107	1995
51	109	1996
52	112	2002
53	114	2004
54	116	1997
55	118	1992
56	120	1986
57	121	1980
58	124	1978
59	125	1971
60	127	1965
61	130	1968
62	132	1966
63	134	1964
64	136	1962
65	138	1960
66	140	1958
67	142	1957
68	145	1957
69	147	1962
70	149	1960
71	152	1961
72	154	1958
73	156	1960
74	158	1959
75	161	1957
76	163	1954
77	164	1947
78	167	1948
79	169	1948
80	171	1947
81	173	1944
82	174	1930
83	176	1926
84	178	1922
85	180	1918
86	182	1915
87	184	1914
88	187	1916
89	189	1911
90	190	1907
91	192	1902
92	194	1897
93	196	1895
94	198	1892
95	200	1888
96	202	1882
97	203	1877
98	205	1872
99	207	1867
100	209	1860
101	211	1858
102	213	1855
103	215	1853
104	216	1848
105	218	1843
106	220	1839
107	222	1835
108	223	1830
109	225	1827
110	227	1824
111	229	1820
112	231	1816
113	233	1813
114	235	1810
115	236	1805
116	238	1798
117	240	1794
118	242	1792
119	244	1790
120	245	1787
121	247	1779
122	248	1774
123	250	1769
124	252	1764
125	253	1760
126	255	1755
127	257	1753
128	259	1750
129	261	1747
130	263	1745
131	265	1743
132	266	1738
133	268	1735
134	270	1734
135	272	1733
136	274	1731
137	276	1729
138	278	1726
139	280	1723
140	282	1720
141	283	1714
142	285	1713
143	287	1710
144	289	1708
145	291	1704
146	293	1701
147	294	1698
148	296	1695
149	298	1693
150	301	1692
151	302	1689
152	304	1688
153	306	1685
154	308	1682
155	310	1680
156	312	1677
157	314	1675
158	316	1673
159	318	1670
160	319	1664
161	321	1661
162	323	1659
163	325	1656
164	326	1653
165	328	1650
166	330	1648
167	332	1647
168	334	1644
169	336	1642
170	338	1639
171	340	1637
172	342	1635
173	344	1635
174	346	1633
175	348	1630
176	350	1627
177	351	1623
178	353	1622
179	355	1619
180	357	1617
181	359	1616
182	361	1614
183	363	1612
184	365	1609
185	367	1606
186	368	1604
187	370	1601
188	372	1597
189	374	1595
190	376	1593
191	378	1591
192	380	1589
193	382	1588
194	384	1586
195	386	1583
196	388	1582
197	390	1580
